,value
0,13.56
1,8.33
2,11.78
3,15.28
4,10.06
5,7.44
6,8.11
7,10.72
8,11.83
9,9.61
10,10.22
11,10.72
12,10.28
13,13.72
14,7.39
15,2.61
16,7.33
17,8.5
18,10.56
19,13.78
20,7.78
21,7.72
22,10.11
23,9.56
24,14.94
25,25.89
26,10.17
27,6.39
28,12.89
29,9.06
30,11.67
31,7.94
32,8.17
33,24.72
34,9.06
35,14.89
36,8.28
37,7.83
38,12.28
39,14.94
40,14.39
41,7.5
42,11.5
43,10.0
44,8.83
45,11.33
46,11.17
47,9.83
48,7.67
49,14.89
50,7.28
51,11.83
52,13.72
53,21.33
54,21.61
55,14.61
56,15.28
57,10.33
58,7.61
59,8.89
60,10.72
61,9.06
62,14.0
63,14.56
64,8.06
65,4.89
66,7.72
67,9.11
68,6.89
69,9.11
70,8.33
71,5.33
72,6.11
73,4.06
74,7.06
75,5.83
76,8.67
77,5.94
78,3.39
79,5.5
80,9.11
81,12.83
82,6.11
83,5.67
84,6.17
85,2.44
86,4.0
87,6.72
88,1.44
89,9.0
90,1.06
91,6.61
92,4.61
93,3.28
94,1.83
95,3.17
96,5.17
97,2.56
98,4.17
99,0.67
100,0.61
101,2.72
102,2.39
103,5.67
104,0.83
105,1.61
106,4.39
107,3.67
108,1.89
109,0.83
110,1.72
111,4.44
112,5.5
113,4.17
114,2.22
115,10.11
116,1.72
117,1.39
118,6.11
119,7.94
120,5.67
121,5.67
122,4.44
123,6.06
124,2.17
125,5.61
126,6.44
127,8.0
128,10.33
129,14.28
130,14.06
131,11.61
132,12.94
133,12.39
134,16.78
135,8.67
136,21.72
137,10.67
138,12.28
139,16.17
140,25.61
141,25.78
142,9.44
143,8.83
144,11.72
145,12.17
146,14.33
147,12.11
148,13.67
149,9.17
150,15.06
151,19.56
152,18.0
153,14.17
154,8.33
155,15.72
156,12.83
157,21.22
158,17.39
159,16.11
160,18.83
161,16.89
162,18.61
163,12.78
164,13.33
165,20.17
166,21.56
167,11.78
168,12.78
169,12.17
170,7.78
171,6.56
172,13.06
173,15.06
174,11.72
175,6.5
176,12.72
177,9.56
178,13.78
179,12.33
180,9.22
181,10.39
182,5.06
183,5.72
184,10.56
185,12.72
186,18.33
187,8.78
188,9.61
189,13.33
190,7.0
191,9.61
192,11.78
193,3.06
194,13.33
195,14.28
196,14.33
197,6.89
198,11.22
199,8.17
200,8.28
201,15.11
202,13.06
203,12.39
204,13.28
205,6.06
206,17.61
207,13.22
208,10.11
209,8.83
210,12.89
211,4.61
212,15.28
213,6.56
214,9.61
215,13.67
216,8.78
217,11.78
218,9.94
219,11.33
220,12.44
221,12.61
222,10.78
223,10.28
224,14.17
225,13.72
226,12.67
227,14.17
228,15.39
229,13.44
230,10.33
231,12.06
232,11.17
233,14.0
234,11.78
235,13.61
236,7.44
237,9.78
238,11.67
239,8.56
240,7.5
241,12.22
242,12.44
243,7.89
244,17.72
245,13.94
246,11.94
247,13.39
248,8.94
249,14.33
250,14.67
251,11.17
252,18.5
253,5.56
254,10.11
255,10.72
256,8.44
257,10.17
258,9.83
259,11.5
260,9.89
261,11.78
262,9.17
263,6.72
264,8.11
265,8.06
266,3.78
267,7.11
268,6.78
269,6.5
270,6.56
271,4.78
272,3.72
273,3.78
274,10.67
275,5.67
276,13.33
277,9.44
278,10.22
279,8.0
280,7.78
281,5.11
282,3.83
283,2.94
284,6.56
285,3.72
286,5.56
287,4.78
288,5.11
289,5.11
290,9.44
291,3.39
292,5.83
293,1.39
294,3.22
295,1.61
296,5.17
297,1.61
298,1.78
299,0.67
300,2.06
301,3.89
302,2.61
303,3.5
304,4.33
305,1.22
306,1.94
307,2.44
308,2.28
309,2.72
310,2.94
311,3.22
312,0.72
313,0.56
314,4.78
315,1.61
316,1.72
317,2.72
318,2.22
319,1.83
320,5.83
321,8.17
322,10.67
323,3.17
324,7.56
325,6.11
326,6.44
327,4.11
328,2.17
329,5.06
330,12.0
331,11.83
332,13.56
333,4.56
334,7.0
335,8.0
336,12.33
337,12.44
338,13.06
339,6.28
340,11.5
341,11.33
342,8.39
343,12.78
344,11.28
345,8.89
346,8.33
347,17.61
348,10.83
349,12.22
350,12.67
351,7.5
352,13.0
353,10.78
354,12.22
355,18.5
356,13.72
357,12.06
358,9.44
359,7.72
360,8.72
361,11.94
362,5.5
363,7.39
364,17.28
365,12.06
366,7.5
367,6.22
368,7.17
369,7.94
370,13.61
371,10.56
372,7.22
373,12.67
374,10.72
375,11.83
376,10.11
377,8.33
378,16.72
379,10.44
380,11.39
381,8.5
382,8.22
383,10.44
384,9.67
385,7.56
386,6.17
387,10.39
388,7.67
389,9.39
390,12.17
391,15.5
392,5.06
393,6.06
394,6.17
395,6.44
396,9.5
397,13.39
398,8.89
399,9.44
400,8.0
401,11.11
402,10.28
403,6.5
404,6.72
405,14.28
406,1.17
407,8.44
408,12.33
409,12.06
410,12.28
411,8.06
412,9.44
413,12.28
414,6.72
415,9.33
416,12.17
417,8.83
418,6.72
419,11.33
420,3.89
421,8.56
422,16.06
423,8.83
424,6.78
425,10.33
426,13.89
427,9.72
428,4.17
429,4.0
430,6.22
431,8.33
432,9.28
433,10.28
434,4.39
435,6.06
436,5.06
437,13.94
438,9.17
439,5.72
440,5.5
441,4.5
442,5.67
443,11.11
444,8.44
445,11.17
446,5.72
447,7.67
448,5.0
449,5.94
450,4.83
451,4.83
452,7.39
453,5.72
454,4.56
455,2.17
456,7.11
457,4.17
458,4.44
459,1.67
460,4.06
461,4.06
462,6.33
463,6.06
464,2.44
465,5.61
466,3.44
467,8.72
468,3.22
469,2.0
470,4.67
471,6.94
472,4.11
473,5.06
474,8.67
475,6.89
476,5.11
477,1.44
478,4.33
479,1.94
480,0.83
481,0.78
482,2.61
483,4.44
484,0.67
485,0.94
