,value
0,73
1,62
2,66
3,69
4,65
5,76
6,65
7,62
8,61
9,65
10,68
11,66
12,67
13,65
14,67
15,67
16,69
17,68
18,68
19,67
20,66
21,68
22,69
23,65
24,70
25,66
26,65
27,64
28,66
29,69
30,64
31,69
32,65
33,68
34,67
35,69
36,66
37,69
38,66
39,65
40,66
41,65
42,64
43,70
44,69
45,66
46,68
47,71
48,63
49,67
50,62
51,64
52,59
53,65
54,58
55,64
56,63
57,66
58,66
59,60
60,57
61,58
62,69
63,70
64,66
65,68
66,65
67,68
68,68
69,70
70,67
71,73
72,77
73,75
74,71
75,73
76,68
77,58
78,65
79,65
80,65
81,66
82,74
83,64
84,68
85,65
86,69
87,70
88,64
89,65
90,67
91,68
92,66
93,63
94,68
95,68
96,73
97,79
98,64
99,67
100,62
101,68
102,70
103,67
104,70
105,65
106,67
107,71
108,69
109,64
110,63
111,62
112,55
113,48
114,56
115,51
116,60
117,43
118,62
119,70
120,65
121,70
122,67
123,70
124,67
125,69
126,69
127,68
128,67
129,66
130,63
131,68
132,68
133,65
134,60
135,65
136,64
137,57
138,57
139,62
140,55
141,61
142,61
143,58
144,65
145,65
146,62
147,68
148,61
149,62
150,73
151,70
152,65
153,65
154,61
155,64
156,62
157,75
158,66
159,71
160,66
161,67
162,65
163,67
164,67
165,65
166,68
167,64
168,72
169,62
170,72
171,72
172,68
173,64
174,63
175,65
176,72
177,67
178,66
179,71
180,71
181,67
182,68
183,65
184,70
185,71
186,65
187,69
188,69
189,69
190,69
191,71
192,64
193,64
194,66
195,76
196,64
197,67
198,64
199,70
200,70
201,68
202,69
203,68
204,68
205,69
206,63
207,67
208,66
209,68
210,66
211,67
212,67
213,68
214,64
215,67
216,62
217,67
218,66
219,66
220,67
221,62
222,63
223,66
224,69
225,70
226,70
227,67
228,66
229,68
230,71
231,62
232,68
233,62
234,64
235,69
236,63
237,64
238,62
239,69
240,65
241,56
242,64
243,70
244,61
245,64
246,68
247,65
248,70
249,65
250,65
251,70
252,73
253,69
254,68
255,65
256,68
257,69
258,71
259,70
260,64
261,68
262,70
263,66
264,71
265,68
266,63
267,66
268,65
269,69
270,70
271,67
272,63
273,68
274,71
275,60
276,81
277,69
278,71
279,64
280,65
281,69
282,66
283,65
284,67
285,67
286,66
287,69
288,70
289,65
290,68
291,68
292,66
293,67
294,66
295,67
296,66
297,65
298,69
299,69
300,70
301,67
302,68
303,64
304,66
305,66
306,62
307,66
308,60
309,66
310,68
311,64
312,66
313,60
314,70
315,65
316,59
317,23
318,52
319,56
320,67
321,63
322,61
323,65
324,63
325,62
326,66
327,62
328,70
329,68
330,69
331,69
332,69
333,64
334,68
335,70
336,65
337,70
338,67
339,64
340,67
341,67
342,68
343,68
344,68
345,63
346,62
347,69
348,61
349,58
350,61
351,63
352,62
353,66
354,65
355,60
356,64
357,59
358,56
359,47
360,60
361,56
362,57
363,79
364,62
365,64
366,58
367,78
368,75
369,71
370,70
371,73
372,70
373,70
374,80
375,66
376,68
377,76
378,66
379,69
380,69
381,70
382,72
383,67
384,71
385,64
386,67
387,75
388,68
389,67
390,71
391,65
392,67
393,77
394,67
395,67
396,68
397,70
398,67
399,62
400,67
401,67
402,65
403,73
404,69
405,70
406,70
407,69
408,72
409,70
410,64
411,68
412,66
413,72
414,71
415,68
416,66
417,70
418,68
419,65
420,72
421,65
422,71
423,65
424,64
425,69
426,68
427,72
428,71
429,69
430,71
431,69
432,73
433,70
434,68
435,62
436,69
437,72
438,65
439,60
440,62
441,66
442,68
443,63
444,70
445,74
446,62
447,59
448,59
449,62
450,70
451,62
452,67
453,69
454,72
455,67
456,69
457,72
458,65
459,76
460,67
461,72
462,70
463,65
464,71
465,69
466,64
467,67
468,69
469,66
470,73
471,70
472,66
473,66
474,66
475,70
476,67
477,72
478,69
479,66
480,68
481,65
482,67
483,64
484,66
485,68
486,68
487,67
488,59
489,64
490,67
491,65
492,67
493,66
494,68
495,66
496,72
497,71
498,69
499,61
500,67
501,66
502,74
503,65
504,69
505,64
506,67
507,69
508,62
509,63
510,73
511,64
512,67
513,65
514,67
515,65
516,74
517,65
518,70
519,70
520,69
521,69
522,63
523,63
524,65
525,56
526,69
527,63
528,66
529,66
530,64
531,68
532,55
533,75
534,69
535,62
536,68
537,66
538,66
539,75
540,65
541,68
542,71
543,69
544,67
545,68
546,67
547,71
548,67
549,65
550,66
551,64
552,60
553,69
554,66
555,73
556,70
557,72
558,62
559,70
560,69
561,69
562,69
563,71
564,68
565,63
566,68
567,68
568,66
569,70
570,70
571,65
572,74
573,67
574,64
575,70
576,70
577,66
578,67
579,63
580,70
581,63
582,71
583,62
584,67
585,68
586,73
587,67
588,65
589,63
590,72
591,65
592,64
593,71
594,66
595,59
596,57
597,66
598,71
599,69
600,67
601,66
602,67
603,65
604,70
605,66
606,66
607,61
608,68
609,69
610,63
611,67
612,66
613,65
614,67
615,65
616,66
617,65
618,64
619,66
620,62
621,65
622,67
623,59
624,36
625,21
626,52
627,60
628,51
629,68
630,60
631,42
632,65
633,59
634,69
635,68
636,66
637,66
638,66
639,68
640,67
641,67
642,65
643,66
644,68
645,68
646,66
647,69
648,64
649,68
650,65
651,65
652,66
653,58
654,71
655,61
656,72
657,64
658,64
659,67
660,65
661,65
662,65
663,74
664,61
665,60
666,64
667,66
668,66
669,70
670,62
671,64
672,61
673,90
674,60
675,66
676,63
677,76
678,56
679,72
680,66
681,67
682,63
683,67
684,70
685,70
686,71
687,62
688,69
689,67
690,66
691,65
692,61
693,68
694,66
695,67
696,66
697,66
698,70
699,71
700,65
701,63
702,63
703,63
704,62
705,65
706,61
707,72
708,67
709,66
710,74
711,66
712,70
713,67
714,68
715,66
716,65
717,60
718,66
719,67
720,66
721,67
722,66
723,67
724,69
725,69
726,71
727,64
728,69
729,68
730,67
731,66
732,68
733,72
734,66
735,62
736,71
737,74
738,65
739,61
740,63
741,66
742,63
743,60
744,59
745,60
746,56
747,49
748,43
749,59
750,51
751,42
752,25
753,10
754,8
755,46
756,65
757,68
758,67
759,64
760,67
761,62
762,66
763,68
764,65
765,65
766,68
767,66
768,64
769,64
770,63
771,63
772,67
